Track name,Artist name,Album,Playlist name,Type,ISRC
"Video Game Players - Menu Select (Great Fairy's Fountain) ( [From ""the Legend of Zelda: Twilight Princess"")","","","Liked videos","Favorite",""
"Claude Debussy - Clair De Lune","","","Liked videos","Favorite",""
"Classic Flames - Ludwig Van Beethoven: Symphony No. 5, Op. 67","","","Liked videos","Favorite",""
"Academy Of St. Christopher Orchestra · Johann Sebastian Bach - Toccata & Fugue D Minor, BWV 565","","","Liked videos","Favorite",""
"T.I. - Why You Wanna","","","Liked videos","Favorite",""
"MADEINTYO - I NEED THAT PACK (PROD. ICYTWAT)","","","Liked videos","Favorite",""
"SlimeGetEm - In A Tomb","","","Liked videos","Favorite",""
"SlimeGetEm - Destruction","","","Liked videos","Favorite",""
"Cash Cobain · Chow Lee · Cash Cobain & Chow Lee · Othello Beats · Cashmere Small · Justin Jones - ALL NIGHT LONG","","","Liked videos","Favorite",""
"Cash Cobain · Chow Lee · Cash Cobain & Chow Lee · Cash Cobain · Cashmere Small · Justin Jones - FREAK OF DI WEEK","","","Liked videos","Favorite",""
"LAZER DIM 700 · Devokeyous Hamilton · KADE · GOXAN - Skyra","","","Liked videos","Favorite",""
"LAZER DIM 700 · Devokeyous Hamilton · GOXAN - Scavenger","","","Liked videos","Favorite",""
"LAZER DIM 700 · GOXAN · Devokeyous Hamilton - Deadlee","","","Liked videos","Favorite",""
"LAZER DIM 700 · GOXAN · Devokeyous Hamilton - Malc","","","Liked videos","Favorite",""
"LAZER DIM 700 · GOXAN · DOWIN · Devokeyous Hamilton - Midnight Club","","","Liked videos","Favorite",""
"Glokk40Spaz · 2wo2imes - Vampire Life","","","Liked videos","Favorite",""
"Duck Sauce - Barbra Streisand (Original Mix)","","","Liked videos","Favorite",""
"D-Block Europe - Thug","","","Liked videos","Favorite",""
"D-Block Europe - Intro","","","Liked videos","Favorite",""
"Bellini - Samba de Janeiro (Radio Edit)","","","Liked videos","Favorite",""
"Octavian · Sam Wise - 100 Degrees (feat. Sam Wise)","","","Liked videos","Favorite",""
"Freddie Gibbs - Triple Threat","","","Liked videos","Favorite",""
"HUNCHO JACK · Travis Scott · Quavo - Modern Slavery","","","Liked videos","Favorite",""
"Chief Keef - Everyday","","","Liked videos","Favorite",""
"Chief Keef · Yale Lucciani - True Religion Fein","","","Liked videos","Favorite",""
"New Super Mario Bros Wii - Volcano","","","Liked videos","Favorite",""
"BADBADNOTGOOD · Ghostface Killah - Street Knowledge","","","Liked videos","Favorite",""
"Tinashe - You Don't Know Me","","","Liked videos","Favorite",""
"Tay-K · Diego Money · Bandman Fari - Gotta Blast","","","Liked videos","Favorite",""
"Tay-K - Lemonade","","","Liked videos","Favorite",""
"Queen - Bohemian Rhapsody (Remastered 2011)","","","Liked videos","Favorite",""
"Ice Prince · Brymo - Oleku (feat. Brymo)","","","Liked videos","Favorite",""
"Bad Meets Evil - Welcome 2 Hell","","","Liked videos","Favorite",""
"Playboi Carti - LIKE WEEZY","","","Liked videos","Favorite",""
"Earl Sweatshirt, MIKE, SURF GANG - Leadbelly","","","Liked videos","Favorite",""
"Knowledge the Pirate · Roc Marciano - Receipts","","","Liked videos","Favorite",""
"V Don · Willie The Kid · Tivon Key · Willie Buckley - Outbreak (feat. Willie The Kid)","","","Liked videos","Favorite",""
"billy woods - Smith + Cross","","","Liked videos","Favorite",""
"James Brown & The Famous Flames - It's A Man's, Man's, Man's World","","","Liked videos","Favorite",""
"POLO PERKS ᐸ3 ᐸ3 ᐸ3 · FEB PHONZO - Duppy Drill","","","Liked videos","Favorite",""
"Robin Thicke - Lost Without U (Official Music Video)","","","Liked videos","Favorite",""
"J. Cole - Too Deep for the Intro","","","Liked videos","Favorite",""
"SPEAK! - Aintnofun","","","Liked videos","Favorite",""
"Common · Malik Yusef - Nobody's Smiling","","","Liked videos","Favorite",""
"Estee Nack · V Don · Al.Divino · BoriRock · Shaykh Hanif · Alexis Rosario · Tivon Key - HIGHTECHNOLOGY (feat. Al.Divino, BoriRock & Shaykh Hanif)","","","Liked videos","Favorite",""
"Freddie Gibbs & The Alchemist - ""Ensalada (feat. Anderson .Paak)"" (Official Visualizer)","","","Liked videos","Favorite",""
